category,sub_category,ministry,name,source,url,filename,text_file,pages,size_kb,word_count,downloaded_at
Taxation,Income Tax,Ministry of Finance,Income Tax Act 1961 (as amended — finance act 2024),Ministry of Finance,https://www.incometax.gov.in/iec/foportal/sites/default/files/2022-07/ABC%20of%20Tax.pdf,ABC_20of_20Tax_24677e.pdf,ABC_20of_20Tax_24677e.txt,13,4765.0,0,2026-02-23T15:45:40.865297
Competition Law,Competition Act,Ministry of Corporate Affairs,Competition Act 2002 (as amended 2023),Ministry of Corporate Affairs,https://www.worldbookday.com/wp-content/uploads/2026/01/NBT_WBD-competition-entry-form.pdf,NBT_WBD-competition-entry-form_dbc2cb.pdf,NBT_WBD-competition-entry-form_dbc2cb.txt,1,166.4,180,2026-02-23T15:46:27.376917
